name,lat_first,lon_first,lat_centroid,lon_centroid,description
amap1-ememo-nocp,40.05469583,-82.4442625,20.87955161,-80.29585383333334,Amazonas Parallelogram 235 x 175m - Emerald Mound Centerpoint - Newark Octagon e-w ratio @ ememo = 1.0 : 0.366008 (-5m) epoch hopewell ld = 0.0366010 lunar orbits per day
amapa-mwayn-ncec,40.04103679,-82.43106901,5.90235423,-74.04717107,Amazonas Parallelogram 330m - Waynapicchu - Great Circle n-s ratio @ ncec = 1.0 : 0.925199 (+4m) epoch hopewell ml = 0.9251987 moons per lunar orbit n-s ratio @ amapa = 1.0 : 0.080848 (-4m) epoch hopewell om = 0.08084893 orbits per moon n-s ratio @ mwayn = 1.0 : 0.074801 (-4m) epoch hopewell ol = 0.07480132 orbits per lunar orbit
amaq55-nocc,40.05207671,-82.44861007,15.434725855,-74.726866535,Amazonas Quadrangle 175m - Observatory Circle colatitude ratio = 1.0 : 0.618034 (+4m) phi ratio  1.0 : 0.618034 = 1.618034 : 1.0 Amazonas Octagon 155m - Octagon Small Circle nosc-amaoc colatitude ratio = 1.0 : 0.618037 (+25m)
amaqu-nesqc,40.04678331,-82.423833,15.436606655000002,-74.813379,Amazonas Quadrangle 320m - Newark Square colatitude ratio = 1.0 : 0.618031 (-29m) phi ratio 1.0 : 0.618034... = 1.618034... : 1.0 Octagon Apex - Amazonas Double Square noe-amads colatitude ratio = 1.0 : 0.618030 (-37m)
amaqu-nocga-ememo,40.053222,-82.446715,20.838567,-80.29889566666667,Amazonas Quadrangle 320m - Newark Octagon Gateway - Emerald Mound Centerpoint e-w ratio @ ememo = 1.0 : 0.366008 (-6m) epoch hopewell ld = 0.0366010 lunar orbits per day
amasq-chhpc,-9.593754,-77.17795,-9.3764555,-72.198172,Amazonas Square 337m - Chavin Plaza Circular arc 9.835740° = 0.0273215 cir (-7m) epoch chavin dl	= 27.3216705 days per lunar orbit
amasq-ememo-nocga,40.053222,-82.446715,20.843371333333334,-80.304052,Amazonas Square 337m - Emerald Mound - Newark Octagon Gateway e-w ratio @ ememo = 1.0 : 0.366243 (+2m) epoch hopewell ry = 366.242358	rotations per year Photo credit: Dr. Robert S. Walker
amasq-sjuen,-9.159157,-67.218394,-9.9309725,-67.68835,Amazonas Square 337m - Sao Judas Enclosure 305 x 260m arc 1.799972° = cir / 200.00315 (-3m)
amasq-sjuen-tambe,-10.702788,-68.158306,-10.804898666666666,-68.17442466666667,Amazonas Square 337m - Sao Judas Enclosure 305 x 260m - Tambopata Enclosure 400 x 220m arcs ratio @ tambe = 1.0 : 1.861231 (-8m) epoch chavin ys	= 18.6121535 years per lunar standstill period
aripz-fenim-nccm,40.04102778,-82.43088889,16.16523526,-77.63216196333333,Aripuana Zanja 403 x 338m - Aguada Fenix Mound - Eagle Mound e-w ratio @ fenim = 1.0 : 0.273790 (-4m) epoch hopewell od = 0.0027378 orbits per day
aripz-iamae-sebpe,-9.464965,-78.265466,-10.248454666666667,-63.71391,Aripuana Zanja 403 x 338m - Iamacu Earthworks - Sechin Bajo Primer Edificio arcs ratio @ aripz = 1.0 : 0.33340 (+13m)
aripz-lacoe-tikci,17.216872,-89.626539,-0.4099490000000004,-72.51320033333333,Aripuana Zanja 403 x 338m - Laco Enclosure 232 x 188m - Tikal Citadel arcs ratio @ lacoe = 1.0 : 0.272864 (-13m) epoch hopewell rn = 27.2867236 rotations per lunar nodal period
aripz-ldant-acong,-32.653125,-70.011982,-8.083849333333335,-73.07913533333334,Aripuana Zanja 403 x 338m - La Danta GPS - Aconcagua GPS n-s ratio @ ldant = 1.0 : 1.859844 (+7m) epoch qin ot = 18.5984812 orbits per lunar orbit turn
aripz-nesqc-ailli,40.04678331,-82.423833,4.680579270000001,-69.84336539666667,Aripuana Zanja 403 x 338m - Newark Square - Apu Illimani GPS e-w ratio @ aripz = 1.0 : 0.366258 (+4m) epoch hopewell ro = 366.256467 rotations per orbit
aripz-nocp-acong,-32.653125,-70.011982,-0.6494767233333345,-70.59295883333333,Aripuana Zanja 403 x 338m - Newark Octagon - Aconcagua GPS e-w ratio @ nocp = 1.0 : 1.859806 (-10m) epoch chavin ot = 18.598190 orbits per lunar orbit turn Aripuana Zanja 403 x 338m - Newark Square - Aconcagua GPS aripz-nesqc-acong e-w ratio @ nesqc = 1.0 : 1.861221 (-9m) epoch olmec ys = 18.6120854 years per lunar standstill period Aripuana Zanja 403 x 338m - La Danta GPS - Aconcagua GPS aripz-ldant-acong n-s ratio @ ldant = 1.0 : 1.859844 (+7m) epoch qin ot = 18.5984812 orbits per lunar orbit turn Aripuana Zanja 403 x 338m - Newark Square - Apu Illimani GPS aripz-nesqc-ailli e-w ratio @ aripz = 1.0 : 0.366258 (+4m) epoch hopewell ro = 366.256467 rotations per orbit
aripz-noom-bigci,-9.350001,-59.322632,19.08510596333333,-74.23770729666667,Aripuana Zanja 403 x 338m - Observatory Mound - Big Circle n-s ratio @ noom = 1.0 : 0.273211 (+28m) epoch hopewell dl = 27.321666 days per lunar orbit
aripz-secba-popoe,32.636426,-91.403277,4.607264333333333,-76.330266,Aripuana Zanja 403 x 338m - Sechin Bajo - Poverty Point Earthworks n-s ratio @ aripz = 1.0 : 0.002730 (-1m) epoch chavin or = 0.0027303 orbits per rotation Archaeological and Anthropological Sciences 9(6)
assis-amaqu-hpgcu,-13.151962,-72.546578,-11.078543666666667,-69.747523,Assis Oval 325 x 272m - Amazonas Quadrangle 320m - Gran Caverna UTM e-w ratio @ assis = 1.0 : 0.750002 (+1m) great circle @ assis = 179.811° Web Archive
assis-iamac-hdsol,-8.130968,-78.994998,-10.323018333333332,-67.34726533333333,Assis Oval 325 x 272m - Iamacu Circle 168m - Huaca del Sol n-s ratio @ assis = 1.0 : 0.366262 (+2m) epoch hopewell ro = 366.256467 rotations per orbit Assis Mound Village - Iamacu Earthworks - Huaca del Sol assiv-iamae-hdsol n-s ratio @ assiv = 1.0 : 0.366285 (+9m) Web Archive
assis-rono3-abuov,-9.766359,-65.982845,-10.252012333333333,-67.44845933333333,Assis Oval 325 x 272m - Rondonia Oval 343 x 279m - Abuna Oval 220 x 210m arcs ratio @ assis = 1.0 : 0.745009 (-3m) epoch hopewell on = 0.0745017 orbits per lunar nodal period Web Archive
